"","BelstromD_2017","RiveraV_2025","TongY_2019","WangB_2020","LindheimL_2016","WolfA_2017","KumpitschC_2020","NagataN_2022","RussoE_2018","TakahashiY_2019","JulianM_2017","YuF_2020","LundmarkA_2019","ZhuC_2018","LiuY_2019","TianN_2017","RafiqulI_2022","ZellerG_2014B","JiangQ_2019","ZhengX_2017","ZiganshinaE_2020","WangK_2016","LeeW_2017","MoskovitzM_2021","LeeY_2025","ArmstrongA_2023b","MakinenA_2023","BelstromD_2021","HuangC_2022","WangX_2020","AbdelbaryM_2022","LinM_2020","WangQ_2019","ArmstrongA_2023a","WangT_2018","DebeliusJ_2020","GuptaA_2022","FanX_2018b"
"Treponema_vincentii",NA,-1,-1,1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-3,2,3,1,1,1,1,-1,1,-1,-1,-1,1,-1,-2,-1,3,1,1,-1,-1,3,NA,-1
"Butyrivibrio_proteoclasticus",NA,NA,-2,1,NA,-1,2,NA,-1,-1,2,NA,1,-1,1,NA,NA,NA,1,NA,-1,1,2,NA,-1,NA,1,NA,-1,-2,1,-1,-1,-1,-1,3,NA,1
"Haemophilus_haemolyticus",-1,1,-1,2,1,-1,-1,1,1,2,-1,-1,1,-1,-1,1,3,-3,1,1,-1,1,-3,3,2,-1,-1,2,1,-1,1,1,3,1,1,-1,NA,-1
"Lactobacillus_iners",NA,-3,1,-1,-1,1,-1,NA,1,1,-1,3,-1,1,NA,3,NA,NA,-1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,-1,NA,NA,1,1,-1,NA,-1
"Johnsonella_ignava",-1,-3,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,2,NA,1,1,1,1,-1,-1,-3,-1,-1,-1,1,-1,1,3,-1,-1,2,3,NA,-1
"Lactobacillus_helveticus",NA,-1,-1,-1,NA,-1,-2,NA,-1,1,2,-1,1,NA,1,NA,-1,NA,-1,-1,-1,-1,1,NA,-3,NA,-1,NA,-1,1,-3,-1,-1,1,3,-3,NA,-1
"Moryella_indoligenes",NA,1,-1,-3,NA,3,3,NA,3,-1,1,-1,-1,-1,1,-1,NA,NA,-1,NA,-1,-1,3,-1,-1,NA,1,NA,-1,1,2,-1,-3,3,1,3,NA,1
"Pseudomonas_putida",NA,NA,-1,-1,NA,-1,-1,NA,NA,-1,NA,1,1,-1,NA,NA,3,NA,1,1,NA,-3,1,NA,NA,NA,NA,NA,NA,1,1,-1,1,1,-3,-1,NA,1
"Stomatobaculum_longum",-1,-1,-1,-3,1,-1,-1,-1,-1,-3,-1,1,2,1,1,1,3,1,-2,1,-3,1,3,1,-1,1,1,-2,-2,1,3,1,2,-1,-1,3,NA,1
"Murdochiella_asaccharolytica",NA,NA,3,NA,NA,-1,-1,NA,NA,NA,NA,NA,-1,NA,1,NA,NA,NA,1,NA,NA,-1,-1,NA,NA,NA,-1,NA,-1,-1,NA,-1,1,-1,1,-3,NA,1
"Veillonella_caviae",NA,-1,NA,3,-3,-1,1,NA,-1,1,1,2,3,1,NA,NA,-1,NA,2,NA,-1,-2,3,-1,2,NA,3,NA,3,NA,-1,-1,1,1,3,-1,NA,NA
"Actinobaculum_schaalii",NA,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,NA,1,-1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,-1,NA,-2,NA,NA,-1,NA,-1,NA,-1,NA,-1,NA,NA
"Gemmiger_formicilis",NA,-1,3,2,-1,NA,-2,NA,2,3,NA,-2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,1,-1,NA,1,-3,NA,NA,NA
"Roseburia_hominis",NA,1,-3,1,-3,NA,-1,NA,1,3,NA,-1,-1,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,1,-1,NA,NA,NA
"Eubacterium_coprostanoligenes",NA,-1,2,1,-1,NA,-1,NA,1,1,NA,-3,NA,-1,NA,NA,3,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1,2,-1,-1,NA,1,-1,NA,NA,1
"Bacteroides_plebeius",NA,3,1,1,-3,NA,1,NA,-2,3,NA,-3,NA,-1,NA,NA,1,NA,NA,1,NA,1,-3,NA,-1,NA,NA,NA,-1,2,1,-1,-1,1,-3,NA,NA,NA
"Bacteroides_vulgatus",NA,3,-1,2,-3,-1,-3,NA,1,3,NA,-1,1,1,NA,NA,3,NA,NA,NA,NA,NA,-3,3,-1,NA,NA,NA,1,2,-1,-2,NA,2,-3,-1,NA,1
"Fusobacterium_necrophorum",NA,-1,1,NA,1,-1,1,NA,-1,1,1,NA,2,-2,1,-1,NA,NA,NA,2,1,NA,-3,NA,-1,1,-1,-1,NA,-1,-1,-1,1,-3,-1,-1,NA,1
"Streptococcus_uberis",NA,NA,NA,-1,NA,1,3,NA,NA,-1,-1,NA,-1,1,NA,NA,-1,NA,NA,-1,NA,1,-2,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,-1,-1,NA,NA
"Turicibacter_sanguinis",NA,3,-1,-1,-1,NA,-1,NA,-1,3,NA,-1,NA,-1,NA,NA,2,NA,NA,1,NA,-1,-1,NA,-1,NA,NA,NA,NA,3,1,-1,NA,-1,1,NA,NA,NA
"Dialister_succinatiphilus",NA,1,1,1,-1,-1,-1,NA,1,-1,3,-1,-1,NA,NA,-1,3,NA,-1,NA,NA,-1,1,NA,-1,NA,-1,NA,-1,-1,-1,-1,-1,1,-3,-1,NA,1
"Bacteroides_uniformis",NA,3,-3,3,-3,-1,-3,NA,1,3,NA,-1,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,-1,1,-1,-1,NA,-1,-3,NA,NA,1
"Flavonifractor_plautii",NA,3,1,1,1,1,-1,NA,1,3,NA,-3,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,1,1,1,-1,1,-1,-1,1,NA,NA
"Parabacteroides_merdae",NA,3,-1,3,-3,NA,-3,NA,-1,3,NA,-1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,1,1,-1,NA,1,-2,NA,NA,NA
"Ruminococcus_gnavus",NA,2,-3,1,-1,-1,-2,NA,-3,3,NA,-2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,3,NA,NA,NA,NA,1,1,-1,NA,1,-3,NA,NA,NA
"Coprococcus_eutactus",NA,-1,3,1,-1,-1,-1,NA,3,3,NA,-3,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,-1,NA,1,-3,NA,NA,1
"Pseudomonas_fluorescens",NA,NA,-1,1,NA,-2,-1,NA,NA,-3,NA,NA,-1,-1,NA,1,NA,NA,NA,-1,NA,-1,1,NA,NA,NA,NA,NA,NA,1,NA,-1,NA,-1,3,NA,NA,1
"Ruminococcus_bromii",NA,2,-3,1,-1,1,-3,NA,-2,3,NA,-3,NA,-2,NA,NA,2,NA,NA,-1,NA,NA,-3,NA,NA,NA,NA,NA,1,2,1,-1,NA,1,-3,NA,NA,NA
"Lactobacillus_casei",NA,1,-1,-1,NA,-1,-1,NA,NA,-1,1,NA,-1,NA,1,NA,-1,NA,NA,1,NA,-1,-3,NA,-2,NA,-1,NA,-1,1,-1,-1,-1,1,2,-3,NA,2
"Anaerostipes_hadrus",NA,2,-3,1,-3,-2,-1,NA,1,3,NA,-3,NA,NA,NA,NA,3,NA,NA,NA,NA,-1,-3,NA,-1,NA,NA,NA,NA,1,1,-1,NA,-1,-3,-1,NA,1
"Actinomyces_funkei",NA,NA,1,NA,NA,NA,-1,NA,1,-1,NA,NA,-1,-1,NA,-1,-1,NA,-1,NA,1,-1,NA,NA,1,NA,NA,NA,1,1,NA,1,-1,NA,-1,1,NA,1
"Bacillus_subtilis",NA,NA,1,NA,NA,NA,-1,NA,NA,1,NA,1,1,1,-2,NA,NA,NA,-1,1,NA,1,-1,NA,1,NA,NA,NA,NA,1,1,-1,NA,2,3,-1,NA,NA
"Peptostreptococcus_anaerobius",NA,-1,-1,1,-1,1,NA,NA,-1,1,-1,NA,1,-1,NA,NA,1,NA,NA,NA,1,-1,-1,NA,-1,NA,-1,NA,-1,-1,1,3,-1,1,1,-1,NA,-1
"Lactobacillus_amylovorus",NA,-1,NA,NA,NA,-1,-1,NA,1,-1,-1,-1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,-2,NA,NA,1,-1,-1,NA,1,NA,-1,NA,-1
"Lactobacillus_rhamnosus",-1,1,NA,NA,NA,1,-1,-1,-1,-3,NA,NA,1,NA,NA,NA,-1,-3,NA,NA,NA,NA,-1,-1,-1,NA,1,1,NA,NA,-1,NA,1,-1,NA,-1,NA,-1
"Neisseria_perflava",3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,-1,NA,-1,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"Blautia_luti",NA,3,-3,1,-1,-1,1,NA,1,-1,NA,-2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,-1,-1,NA,1,-1,NA,NA,1
"Eubacterium_hallii",NA,2,-3,1,-3,1,-2,NA,1,3,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,1,-1,NA,-1,-3,-1,NA,-1
"Roseburia_faecis",NA,1,3,1,-1,NA,1,NA,-1,3,NA,-3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,-1,-3,NA,NA,NA
"Peptostreptococcus_russellii",NA,NA,NA,NA,NA,NA,NA,NA,-1,1,NA,-1,1,NA,NA,NA,-2,NA,NA,NA,1,-1,NA,NA,-1,NA,NA,NA,-1,-1,1,-1,-1,-1,1,1,NA,NA
"Dorea_longicatena",NA,3,-3,1,-1,NA,1,NA,-1,3,NA,-3,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,NA,1,1,-1,NA,1,-1,NA,NA,NA
"Bifidobacterium_breve",NA,1,NA,NA,NA,-1,1,NA,NA,-1,-1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,-1,NA,-1,NA,-1,NA,NA,1,-1,-1,NA,NA,NA,-1,NA,-1
"Alistipes_putredinis",NA,3,-3,1,-3,NA,1,NA,1,3,NA,-2,NA,NA,NA,NA,3,NA,NA,-1,NA,NA,-3,NA,-1,NA,NA,NA,1,1,1,NA,1,1,-3,NA,NA,NA
"Staphylococcus_aureus",NA,NA,-1,-1,-1,-1,-1,NA,1,-1,2,NA,-1,-2,-1,-1,-1,-1,NA,1,1,1,1,-1,1,1,NA,NA,1,NA,-2,-1,NA,-1,1,-3,NA,1
"Veillonella_magna",NA,NA,NA,NA,-1,NA,NA,NA,NA,-3,-1,NA,-1,1,NA,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,-1,1,NA,-1,1,NA,1
"Prevotella_jejuni",1,NA,1,NA,1,NA,-1,-3,1,-1,NA,NA,-1,1,NA,-1,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,-1,NA,NA,NA,NA,NA,-1,NA,-1
"Dolosigranulum_pigrum",NA,-1,-3,1,NA,NA,NA,NA,1,-1,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,-1,-1,-1,1,NA,1,NA,1,NA,-1,NA,-1,-1,-1,-1,NA,1
"Eubacterium_siraeum",NA,3,-1,2,-1,-1,-2,NA,1,1,NA,-1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,-1,NA,2,3,NA,NA,NA
"Akkermansia_muciniphila",NA,1,-1,-1,NA,NA,-2,NA,-1,1,NA,-3,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,-1,1,-1,-1,-1,2,NA,NA,NA
"Blautia_faecis",NA,1,-3,1,-1,NA,-1,NA,1,3,NA,-3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,1,1,1,-1,NA,1,-3,NA,NA,-1
"Bacteroides_caccae",NA,1,-1,-1,-3,-1,-1,NA,2,3,NA,-3,NA,-3,NA,NA,3,NA,NA,NA,-1,-1,-3,NA,NA,NA,NA,NA,NA,1,NA,-1,NA,-1,-3,-1,NA,-1
"Campylobacter_lanienae",NA,NA,-1,NA,1,NA,NA,NA,2,3,NA,NA,1,-1,NA,NA,NA,NA,1,NA,-1,NA,NA,NA,1,NA,NA,NA,1,2,NA,-1,NA,NA,-3,1,NA,NA
"Phascolarctobacterium_succinatutens",NA,1,-1,-1,-1,NA,-1,NA,1,3,NA,-3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"Ruminococcus_flavefaciens",NA,-1,-1,1,-3,NA,-3,NA,1,3,NA,-3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1,1,-1,-1,NA,-1,-1,NA,NA,NA
"Faecalibacterium_prausnitzii",NA,3,3,1,-3,-1,-2,NA,3,3,NA,-3,NA,2,NA,NA,3,NA,1,1,NA,NA,-3,NA,-1,NA,NA,NA,1,1,3,-1,NA,1,-3,NA,NA,-1
"Vagococcus_lutrae",NA,2,1,-1,NA,2,3,NA,2,3,-1,NA,-1,1,-1,-1,-1,NA,-1,NA,1,-3,1,NA,-1,NA,1,NA,1,-3,NA,-1,1,-1,1,-1,NA,1
"Enterococcus_faecalis",NA,1,-2,NA,-1,NA,-1,1,-2,1,2,-1,NA,-1,NA,NA,-1,-2,NA,1,1,-1,-1,NA,-1,NA,1,NA,-1,1,-1,-1,1,-1,-1,-1,NA,-3
"Bacteroides_pyogenes",NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,1,-1,NA,NA,1,NA,1,NA,3,-1,1,NA,NA,NA,NA,NA,NA,-1,NA,-1,1,2,-1,1,NA,1
"Actinomyces_suimastitidis",NA,NA,NA,NA,NA,NA,NA,NA,-1,1,2,NA,3,-1,NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,-1,NA,NA,NA,-1,-1,NA,-1,NA,NA,NA,-1,NA,NA
"Prevotella_bergensis",NA,1,-1,1,-1,-1,-1,NA,-1,1,-1,NA,1,NA,NA,-1,NA,NA,-1,-1,-1,-1,-3,NA,NA,NA,-1,NA,NA,-1,NA,-1,NA,1,NA,-1,NA,-1
"Eubacterium_eligens",NA,1,1,2,-3,1,-1,NA,3,3,NA,-1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,3,NA,-1,NA,NA,NA,1,1,1,-1,1,NA,-3,-1,NA,NA
"Parabacteroides_distasonis",NA,-1,1,3,-3,-1,-1,NA,-1,3,NA,-3,NA,1,-1,NA,1,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,NA,1,-1,-1,NA,-1,-3,NA,NA,1
"Anaerococcus_octavius",NA,-1,-1,NA,-1,-3,-3,NA,1,-1,1,NA,-2,NA,-1,NA,-1,NA,1,NA,-1,1,1,NA,-1,NA,-1,NA,1,-1,2,-1,-1,1,-1,3,NA,1
"Roseburia_inulinivorans",NA,3,1,1,-1,NA,-1,NA,-1,3,NA,-3,1,NA,NA,NA,3,NA,NA,-1,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,-1,-1,NA,-1,-3,NA,NA,NA
"Streptococcus_massiliensis",NA,2,NA,-1,-1,-1,-1,NA,3,1,-1,NA,1,1,1,NA,NA,NA,NA,NA,-1,NA,1,1,-2,-1,-3,-1,NA,NA,-1,NA,NA,-1,NA,NA,NA,1
"Lactobacillus_plantarum",-1,NA,1,1,-1,1,-1,1,1,1,NA,-3,-1,NA,NA,NA,NA,-1,1,-1,NA,1,-3,NA,-2,NA,-1,1,-1,-2,-1,-1,-1,1,3,-3,NA,1
"Eubacterium_biforme",NA,1,1,1,-3,NA,2,NA,1,3,NA,-2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,NA,-1,NA,NA,NA,NA,NA,NA
"Prevotella_disiens",NA,1,1,-1,-3,-1,-1,-1,2,1,-1,NA,1,NA,NA,1,-1,NA,NA,1,NA,NA,-1,NA,1,1,-2,-1,-1,1,1,-1,NA,1,-2,-1,NA,1
"Coprococcus_comes",NA,2,1,3,-1,NA,-1,NA,1,3,-1,-1,NA,NA,NA,NA,3,NA,NA,NA,-1,NA,-3,NA,-1,NA,NA,NA,NA,1,2,NA,NA,1,-1,1,NA,NA
"Bifidobacterium_longum",-1,1,-3,-1,-1,-3,-1,-1,-1,3,-1,-1,1,1,1,-1,3,-3,1,NA,-1,NA,1,NA,-3,-1,-1,1,-1,1,-1,-1,-1,1,-3,-1,NA,1
"Oscillibacter_valericigenes",NA,-1,1,1,-2,-1,-1,NA,1,1,NA,-3,NA,NA,NA,NA,3,NA,NA,1,NA,NA,-3,NA,-1,NA,NA,NA,NA,1,1,-1,NA,-1,-2,NA,NA,NA
"Necropsobacter_rosorum",NA,NA,NA,1,NA,2,-1,NA,-1,-1,NA,-1,1,-1,NA,NA,1,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,1,-1,1,1,1,-1,1,1,NA,NA
"Riemerella_anatipestifer",NA,NA,NA,NA,NA,NA,-1,NA,-1,1,NA,NA,-1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,1,-1,NA,-1,NA,1,NA,-1
"Bacteroides_coprocola",NA,1,-2,1,-3,NA,1,NA,-3,3,NA,-3,1,1,-1,NA,1,NA,1,-1,1,NA,-3,NA,NA,NA,NA,NA,-1,2,1,-1,NA,1,-2,1,NA,1
"Ottowia_pentelensis",NA,NA,NA,NA,-1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,3,NA,NA
"Alistipes_shahii",NA,-1,1,1,-3,NA,-1,NA,-1,3,NA,-1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,-1,NA,NA,NA
"Enterococcus_faecium",NA,1,1,-1,-1,-1,-1,NA,NA,1,2,1,1,1,NA,NA,-1,NA,NA,-1,NA,-1,1,NA,-1,NA,-1,NA,1,1,-1,-1,-1,1,1,-1,NA,NA
"Alistipes_finegoldii",NA,3,1,1,-3,NA,-1,NA,1,1,NA,-3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,1,1,-1,NA,1,-1,NA,NA,NA
"Catenibacterium_mitsuokai",NA,2,-1,-1,-1,NA,-1,NA,3,3,NA,-1,NA,-1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA
"Acidaminococcus_intestini",NA,3,NA,NA,-1,-1,-1,NA,1,1,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,1,NA,NA,NA,-1,NA,1,NA,-1,-1,NA,-1
"Granulicatella_balaenopterae",NA,-1,NA,-3,NA,-1,1,NA,1,1,2,NA,-1,-1,-1,NA,-1,NA,NA,NA,1,1,-1,NA,1,NA,-1,NA,1,-1,NA,1,NA,-1,NA,1,NA,NA
"Parasutterella_excrementihominis",NA,1,1,1,-3,NA,-1,NA,1,3,NA,-3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,-3,NA,NA,NA,NA,NA,1,1,-1,NA,NA,-1,-2,NA,NA,NA
"Bacteroides_dorei",NA,-1,-3,1,-2,-1,-1,NA,1,3,NA,-2,NA,1,NA,NA,2,NA,1,NA,NA,NA,-3,NA,-1,NA,NA,NA,1,1,-1,NA,NA,1,-3,NA,NA,1
"Clostridium_disporicum",NA,1,1,2,1,NA,-2,NA,-1,1,NA,-2,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,-3,NA,NA,NA,NA,NA,1,1,1,-1,NA,-1,1,NA,NA,NA
"Ruminococcus_torques",NA,1,3,1,1,NA,-1,NA,-2,3,NA,-3,NA,NA,NA,NA,3,NA,NA,1,NA,-1,-3,NA,NA,NA,NA,NA,-1,1,1,-1,NA,1,-3,1,NA,NA
"Mycoplasma_spermatophilum",NA,1,1,1,1,NA,NA,NA,3,1,NA,NA,-1,NA,1,1,NA,NA,1,NA,1,-1,NA,NA,NA,NA,NA,NA,-1,1,3,1,NA,1,1,1,NA,-1
"Enterococcus_italicus",NA,-1,NA,-1,NA,-1,-1,NA,1,1,3,NA,-3,2,-1,1,1,NA,1,-1,-1,-1,-1,NA,1,NA,-1,NA,-2,-1,NA,-1,-1,1,-1,-1,NA,NA
"Actinomyces_radicidentis",NA,-1,-1,1,NA,-1,-1,1,-1,-1,-1,-1,1,1,NA,NA,NA,-1,1,NA,NA,-1,-3,NA,-1,NA,-2,NA,1,-1,-1,-1,-1,-1,NA,-3,NA,1
"Actinomyces_johnsonii",-1,NA,NA,NA,-1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,-1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA
"Clostridium_lactatifermentans",NA,1,1,2,-3,NA,-1,NA,1,1,NA,-2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,-3,NA,NA,NA,NA,NA,NA,2,1,-1,1,-1,-1,NA,NA,-1
"Bacteroides_ovatus",NA,3,2,1,-3,NA,-1,NA,1,3,NA,-3,NA,-1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,NA,1,-1,-1,NA,-1,-3,NA,NA,-1
"Bacteroides_eggerthii",NA,-1,-1,1,-1,NA,-2,NA,1,1,NA,-2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,1
"Collinsella_aerofaciens",NA,3,3,1,-1,NA,-1,NA,1,1,NA,-1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,1,NA,2,-1,NA,-1,-1,NA,NA,NA
"Eubacterium_desmolans",NA,1,3,1,NA,NA,-1,NA,-1,3,NA,-3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,NA,-3,-1,NA,NA
"Clostridium_hylemonae",NA,1,-1,1,NA,-1,-1,NA,-1,-1,NA,-2,-1,1,NA,NA,2,NA,1,NA,NA,1,-3,NA,-1,NA,NA,NA,NA,1,3,NA,NA,1,1,1,NA,NA
"Fusicatenibacter_saccharivorans",NA,2,-3,-1,-3,NA,-1,NA,1,3,NA,-1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,1,-1,NA,1,-3,NA,NA,NA
"Kingella_kingae",NA,NA,1,1,1,NA,NA,1,1,2,-1,NA,1,-1,NA,-1,NA,NA,NA,1,NA,-1,-1,NA,1,-1,1,NA,NA,NA,NA,-1,-1,1,1,-1,NA,NA
"Phascolarctobacterium_faecium",NA,1,1,1,-1,NA,-1,NA,-1,3,NA,-3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,-3,NA,NA,NA
"Sutterella_wadsworthensis",NA,-1,NA,1,-3,1,-1,NA,2,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,-1,-2,-1,NA,1,NA,NA,NA,NA
"Bacteroides_fragilis",NA,-1,-1,1,-3,-1,-1,NA,-3,3,NA,-3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,1,1,-1,-1,NA,-1,-3,1,NA,NA
"Ruminococcus_albus",NA,-1,-1,NA,-1,NA,1,NA,-1,1,NA,-3,1,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,-1,NA,NA,1,NA,NA,NA
"Bacteroides_massiliensis",NA,3,-1,3,-3,NA,-3,NA,-1,3,NA,-2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,1,-1,-1,NA,-1,-1,-1,NA,NA
"Prevotella_stercorea",NA,-1,1,1,1,NA,-1,NA,1,3,NA,-2,NA,1,NA,NA,3,NA,NA,1,NA,NA,-3,NA,-1,NA,NA,NA,NA,1,NA,-1,NA,NA,-1,1,NA,NA
"Clostridium_symbiosum",NA,-1,1,NA,NA,NA,-1,NA,-1,1,NA,1,1,NA,NA,NA,1,NA,NA,-1,NA,NA,-3,NA,1,NA,NA,NA,NA,1,-1,NA,NA,NA,-1,NA,NA,NA
"Dorea_formicigenerans",NA,1,1,1,-1,NA,-1,NA,-1,3,NA,-3,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,2,1,-1,NA,NA,1,-3,NA,NA,NA
"Ruminococcus_obeum",NA,1,-3,2,-1,-1,-1,NA,-1,3,NA,-2,NA,-1,-1,NA,3,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,-1,NA,NA,NA
"Oscillospira_guilliermondii",NA,-1,1,1,-1,NA,-1,NA,1,3,NA,-1,-1,NA,NA,NA,3,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,1,3,-1,NA,1,-1,NA,NA,NA
"Roseburia_intestinalis",NA,1,-3,3,-1,-1,-2,NA,1,2,NA,-2,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,1,2,1,-1,NA,-1,-3,NA,NA,NA
"Actinobacillus_succinogenes",NA,1,NA,1,NA,NA,-1,NA,1,-1,-1,NA,1,-1,NA,NA,1,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,NA,NA,-1,1,3,NA,-1,-1,-1,NA,NA
"Bacteroides_thetaiotaomicron",NA,1,1,1,-3,NA,-1,NA,-1,3,NA,-3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,1,1,-1,-1,NA,-1,-3,1,NA,NA
"Clostridium_ramosum",NA,3,1,1,-1,-1,1,NA,-1,-1,NA,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-3,NA,-1,NA,NA,NA,NA,-1,1,NA,NA,-1,-3,NA,NA,NA
"Haemophilus_parasuis",NA,1,NA,NA,1,2,1,NA,1,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,-1,-1,NA,-1,NA,1,NA,1,-1,NA,2,1,1,NA,1,NA,NA
"Veillonella_criceti",NA,NA,-1,3,1,NA,-1,NA,NA,1,NA,NA,1,-1,NA,NA,1,NA,-1,3,NA,-1,1,NA,-1,NA,NA,NA,1,NA,NA,-1,2,1,NA,-1,NA,NA
"Parabacteroides_goldsteinii",NA,-1,1,-1,-3,NA,-1,NA,2,-1,NA,-2,-1,1,NA,-1,1,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,NA,2,-1,1,NA,1,-1,1,NA,NA
"Clostridium_leptum",NA,1,-1,1,1,NA,-1,NA,3,1,NA,-3,NA,NA,NA,NA,2,NA,NA,NA,NA,-1,-3,NA,1,NA,NA,NA,NA,1,1,-1,-1,-1,2,NA,NA,NA
